colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Lomas de Chapultepec Seccion V,Miguel Hidalgo,1,-0.26819816684240483,-0.2667468318912315,-0.2584867916347063,Estable
Lomas de Chapultepec Seccion V,Miguel Hidalgo,3,-0.26185637575206316,-0.2547376071700574,-0.2509738409229118,Estable
Lomas de Chapultepec Seccion V,Miguel Hidalgo,5,-0.26185637575206316,-0.2566310497030615,-0.2410151966383406,Estable
Mariano Escobedo,Miguel Hidalgo,1,-0.22912295278797,-0.2349991630875684,-0.22536889101360094,Estable
Mariano Escobedo,Miguel Hidalgo,3,-0.21845311281323132,-0.22949784719572802,-0.20670596415471276,Estable
Mariano Escobedo,Miguel Hidalgo,5,-0.21845311281323132,-0.2313912897287321,-0.19757547812076054,Estable
Modelo Pensil,Miguel Hidalgo,1,-0.2374857718494297,-0.22524708540203034,-0.17464429993358496,Estable
Modelo Pensil,Miguel Hidalgo,3,-0.2273570009529771,-0.20412962011644348,-0.17328102058396916,Estable
Modelo Pensil,Miguel Hidalgo,5,-0.2272931865015607,-0.19597944917863652,-0.17404961473656008,Estable
Molino del Rey,Miguel Hidalgo,1,-0.5522889905932078,-0.5624587936755692,-0.33554770976791093,Estable
Molino del Rey,Miguel Hidalgo,3,-0.5394002139743816,-0.5452797947562917,-0.3359725978085581,Estable
Molino del Rey,Miguel Hidalgo,5,-0.5395671857415727,-0.535663783929558,-0.3359725978085581,Estable
Napoles,Benito Juarez,1,0.1091469003071259,0.07913214650183002,0.3309795311866115,Estable
Napoles,Benito Juarez,3,0.10567645262181252,0.09180811027729698,0.308687475636578,Estable
Napoles,Benito Juarez,5,0.10511461436718128,0.09843068005518572,0.30711667542815535,Estable
Narvarte,Benito Juarez,1,0.31493547762936386,0.2666752212854491,0.3560147608276127,Estable
Narvarte,Benito Juarez,3,0.32825899467918607,0.28015867887739365,0.34634922435886295,Estable
Narvarte,Benito Juarez,5,0.32774240247296615,0.28539401670884945,0.3452117503980104,Estable
Narvarte Poniente,Benito Juarez,1,0.28463151858252983,0.24630407039385113,0.31214383543989377,Estable
Narvarte Poniente,Benito Juarez,3,0.2742743702247185,0.25479677999539724,0.26454417772192906,Estable
Narvarte Poniente,Benito Juarez,5,0.2741073984575276,0.2593115856523478,0.26401363591925864,Estable
Nextitla,Miguel Hidalgo,1,-0.22053126652690255,-0.23482384762857428,-0.22056771547866394,Estable
Nextitla,Miguel Hidalgo,3,-0.2101256740885952,-0.24210591112292726,-0.20035784105188228,Estable
Nextitla,Miguel Hidalgo,5,-0.20962210844688808,-0.24470912909278605,-0.1905954579435585,Estable
Niños Heroes de Chapultepec,Benito Juarez,1,-0.16817655724369016,-0.1725279487979009,-0.17143594416820018,Estable
Niños Heroes de Chapultepec,Benito Juarez,3,-0.16501480069119026,-0.18795934847700194,-0.14919473356884366,Estable
Niños Heroes de Chapultepec,Benito Juarez,5,-0.1653006066788029,-0.1894418031925105,-0.14023259929740994,Estable
Noche Buena,Benito Juarez,1,-0.2599436882502736,-0.2563877419842039,-0.23292375753544722,Estable
Noche Buena,Benito Juarez,3,-0.2589526187959668,-0.2526919183509717,-0.24534797405271944,Estable
Noche Buena,Benito Juarez,5,-0.2588888043445504,-0.253255440895603,-0.23635716028454265,Estable
Nonoalco,Benito Juarez,1,-0.17564156648216878,-0.18265588260450585,-0.17914313011648061,Estable
Nonoalco,Benito Juarez,3,-0.17593552429140716,-0.19864773236939043,-0.16309845500780412,Estable
Nonoalco,Benito Juarez,5,-0.17626657632743106,-0.19923084099728136,-0.15458242427037422,Estable
Nueva Santa Maria,Azcapotzalco,1,-0.19210847928561628,-0.2044249652258653,-0.19639972884658005,Estable
Nueva Santa Maria,Azcapotzalco,3,-0.18245518007948128,-0.20032215344364745,-0.176656184966966,Estable
Nueva Santa Maria,Azcapotzalco,5,-0.18280391064482546,-0.2006924244798199,-0.16828676261074815,Estable
Obrera,Cuauhtemoc,1,0.19458455843681796,0.15360454039439303,0.6605044070958069,Estable
Obrera,Cuauhtemoc,3,0.18118690940271542,0.1645408241697019,0.6316717795678148,Estable
Obrera,Cuauhtemoc,5,0.18118690940271542,0.16765274875881495,0.6295436246891414,Estable
Obrero Popular,Azcapotzalco,1,-0.28675794041480246,-0.2812482624788054,-0.28111101747380496,Estable
Obrero Popular,Azcapotzalco,3,-0.2773286756160342,-0.2815890224961836,-0.25530324451402725,Estable
Obrero Popular,Azcapotzalco,5,-0.27749564738322513,-0.28188604840930725,-0.2498943585963324,Estable
