evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-11,2026-02,1444.8613406156815,1442.1782513424625,0.998143012621491,False,1673,71,2025-11
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-11,2026-02,1444.8613406156815,1288.08641436734,0.8914948294058883,False,1673,45,2025-11
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-11,2026-02,1377.1159364371836,1684.2207606371428,1.2230057877294542,False,1673,71,2025-11
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-11,2026-02,1377.1159364371836,1672.8382437409277,1.2147403130551409,False,1673,45,2025-11
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-12,2026-03,1390.2084278712503,979.0217215148732,0.7042265763084139,False,1733,73,2025-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-12,2026-03,1390.2084278712503,747.5277422215904,0.5377091141407038,False,1733,48,2025-12
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-12,2026-03,1348.881674584488,1176.5669870074958,0.8722536670015385,False,1733,73,2025-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-12,2026-03,1348.881674584488,1107.4047933729823,0.8209799378541556,False,1733,48,2025-12
EVALUATION_ALL,LGBM_TEMPORAL,3,2026-01,2026-04,1363.6938952503851,1850.799441275794,1.3571956637203926,False,1779,65,2026-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2026-01,2026-04,1363.6938952503851,688.3358371965423,0.5047583182662546,False,1779,37,2026-01
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2026-01,2026-04,1331.2276500442026,1718.1884010488022,1.2906796226714121,False,1779,65,2026-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2026-01,2026-04,1331.2276500442026,901.2593659765633,0.6770137068191436,False,1779,37,2026-01
EVALUATION_ALL,LGBM_TEMPORAL,3,2026-02,2026-05,1336.2442321756419,841.0143860390413,0.6293867287043187,False,1838,57,2026-02
