colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Santo Tomas,Miguel Hidalgo,3,-0.37801243949819907,-0.4379764226915514,-0.275403823679728,Estable
Santo Tomas,Miguel Hidalgo,5,-0.42063506039855325,-0.5205750323874738,-0.24962070070110143,Estable
Sector Naval,Azcapotzalco,1,-0.26892481347988434,-0.31128963184404795,-0.20691471404506284,Estable
Sector Naval,Azcapotzalco,3,-0.2696896180840537,-0.3967840731765444,-0.08365931977958913,Estable
Sector Naval,Azcapotzalco,5,-0.270454422688223,-0.4822785145090409,0.03959607448588459,Estable
Tabacalera,Cuauhtemoc,1,0.18810415949669973,0.12002818267091953,0.2173304706233342,Estable
Tabacalera,Cuauhtemoc,3,0.14484465858750328,-0.0593832718898373,0.23252359196740668,Estable
Tabacalera,Cuauhtemoc,5,0.10158515767830681,-0.23879472645059416,0.24771671331147915,Estable
Tacuba,Miguel Hidalgo,1,-0.16187041293277132,-0.19481407415241647,-0.12851735469980413,Estable
Tacuba,Miguel Hidalgo,3,-0.15465939701184436,-0.25349038067077984,-0.05460022231294279,Estable
Tacuba,Miguel Hidalgo,5,-0.1474483810909174,-0.31216668718914314,0.01931691007391856,Estable
Tlacoquemecatl del Valle,Benito Juarez,1,-0.2428056463162268,-0.26190493848656193,-0.20902837090885834,Estable
