zone_id,colonia,alcaldia,aliases,geometry_available,n_estaciones_catalogo_actual,station_history_available
col_b0d667d100335a2cbd38dd885b4a49ae,Granada,Miguel Hidalgo,"[""Granada""]",True,6,False
col_d230756d48c258b4b050767d29182a80,Irrigacion,Miguel Hidalgo,"[""Irrigacion""]",True,2,False
col_296d6268c64b5552821a2eebfad2256f,Lomas de Chapultepec Seccion III,Miguel Hidalgo,"[""Lomas de Chapultepec Seccion III""]",False,2,False
col_bbdf83c90b8d5945967637dfe673bde4,Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,"[""Lomas de Chapultepec Seccion IV/Lomas Virreyes""]",False,2,False
col_333380f5322950cf9a22ac2947f13767,Lomas de Chapultepec Seccion V,Miguel Hidalgo,"[""Lomas de Chapultepec Seccion V""]",False,2,False
col_7f4389bc274355ffaf821a5f6d5a33f1,Mariano Escobedo,Miguel Hidalgo,"[""Mariano Escobedo""]",False,2,False
col_76d47b3676925748aa9d3dee653c6562,Modelo Pensil,Miguel Hidalgo,"[""Modelo Pensil""]",True,1,False
col_d40150e91a0457b18f3ac9b3be178bdc,Molino del Rey,Miguel Hidalgo,"[""Molino del Rey""]",True,1,False
col_19663fbe37bd50ee8eff60a93705eb35,Nextitla,Miguel Hidalgo,"[""Nextitla""]",True,2,False
col_2006d9e5f6975534a01a4ae3d0063ec1,Plutarco Elias Calles,Miguel Hidalgo,"[""Plutarco Elias Calles""]",True,2,False
col_43db8a95c872541680d0688e731fe141,Polanco,Miguel Hidalgo,"[""Polanco""]",True,44,False
col_cda58c28c9e35bd7b4c277287cc632da,Polanco Seccion I/ Los Morales,Miguel Hidalgo,"[""Polanco Seccion I/ Los Morales""]",False,1,False
col_92cd6e3f23155eedb10936246b2da76c,Popotla,Miguel Hidalgo,"[""Popotla""]",True,4,False
col_62bb8f5cf8d25a898a34208ad6dee465,San Miguel Chapultepec,Miguel Hidalgo,"[""San Miguel Chapultepec""]",True,10,False
col_c84c8cba11e05de082c7496795578d88,Santo Tomas,Miguel Hidalgo,"[""Santo Tomas""]",True,1,False
col_de2ee5e1ae0955e6845ef669ea127a75,Tacuba,Miguel Hidalgo,"[""Tacuba""]",True,2,False
col_39b7c034d6a15d22952ae31d1eab536a,Tlaxpana,Miguel Hidalgo,"[""Tlaxpana""]",True,3,False
col_fb144842ece557ce8e184ba17ea11743,Un Hogar para Nosotros,Miguel Hidalgo,"[""Un Hogar para Nosotros""]",True,1,False
col_6f85f8cb1357503bae86559c4ab47194,Veronica Anzures,Miguel Hidalgo,"[""Veronica Anzures""]",True,5,False
